title,release_date,price,link,average_review,num_positive_reviews,num_reviews,tags,genres,minrequirements
Ragnarok Online,"Oct 31, 2013",0,https://store.steampowered.com/app/215100/Ragnarok_Online/?snr=1_7_7_230_150_41,Mixed,50,,"['Single-player', 'MMO', 'Steam Trading Cards']","['Free to Play', 'Massively Multiplayer']","['OS: Windows-based  (with administrative ability to install and patch)', 'Processor: Pentium II, 400MHz  (or better)', 'Memory: 128 MB RAM', 'Graphics: Any with 3D Acceleration & at least 16MB on-board RAM', 'DirectX: Version 8.1', 'Storage: 2 GB available space', 'Sound Card: DirectSound  (or compatible with 3D Sound Effect Support)', 'Additional Notes: May not run properly on integrated laptop graphics cards']"
ONRAID,"Apr 18, 2017",0,https://store.steampowered.com/app/511800/ONRAID/?snr=1_7_7_230_150_41,Mostly Positive,75,,"['Single-player', 'MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']","['Action', 'Free to Play', 'Indie', 'Massively Multiplayer']",[]
They Can't Stop All Of Us,"Nov 1, 2019",0,https://store.steampowered.com/app/1142130/They_Cant_Stop_All_Of_Us/?snr=1_7_7_230_150_41,Mostly Positive,75,,"['Online PvP', 'Online Co-op']","['Action', 'Free to Play', 'Indie', 'Strategy', 'B Michael B', 'ChainWave Games']","['Requires a 64-bit processor and operating system', 'OS: Windows 7 SP1+', 'Memory: 4 GB RAM', 'Graphics: 4GB', 'DirectX: Version 10']"
Soccer Manager 2020,"Jan 29, 2020",0,https://store.steampowered.com/app/1078730/Soccer_Manager_2020/?snr=1_7_7_230_150_41,Very Positive,80,,"['Single-player', 'Steam Achievements', 'In-App Purchases', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']",['Free to Play'],"['Requires a 64-bit processor and operating system', 'OS: Windows XP SP2+', 'Processor: 1 GHz or higher', 'Memory: 1 GB RAM', 'Graphics: Shader Model 3.0 capable card', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 170 MB available space']"
Modular Combat,"Mar 20, 2015",0,https://store.steampowered.com/app/349480/Modular_Combat/?snr=1_7_7_230_150_41,Mostly Positive,75,,"['Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Partial Controller Support']","['Action', 'Free to Play']","['OS: Windows® 8.1/8/7/Vista/XP', 'Processor: Pentium 4 processor (3.0GHz, or better)', 'Memory: 2 GB RAM', 'Graphics: DirectX 9.0c compatible with 256MB of memory', 'DirectX: Version 9.0c', 'Storage: 5 GB available space', 'Sound Card: DirectX 9.0c Compatible']"
Atom Fishing II,"Nov 29, 2016",0,https://store.steampowered.com/app/557780/Atom_Fishing_II/?snr=1_7_7_230_150_41,Mostly Positive,75,,"['MMO', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Commentary available']","['Free to Play', 'Indie', 'Massively Multiplayer']","['OS: Windows Vista', 'Memory: 2 GB RAM', 'Graphics: GF GTX 460', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 2 GB available space']"
Wilson Chronicles,Jan 2016,0,https://store.steampowered.com/app/313240/Wilson_Chronicles/?snr=1_7_7_230_150_41,Mostly Positive,75,,"['Single-player', 'Full controller support', 'Includes level editor', 'Includes Source SDK']","['Action', 'Free to Play']","['OS: Windows® 7', 'Processor: Intel® Core™ 2 Quad Q6600', 'Memory: 4 GB RAM', 'Graphics: 2 GB avec DirectX 10 & Pixel Shader 4.0', 'DirectX: Version 9.0c', 'Storage: 7 GB available space']"
Deep the Game,"Jan 11, 2020",0,https://store.steampowered.com/app/1046470/Deep_the_Game/?snr=1_7_7_230_150_41,Mostly Positive,75,,"['Single-player', 'Shared/Split Screen PvP', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor', 'Remote Play Together', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Action', 'Adventure', 'Free to Play']","['OS: Windows XP', 'Processor: Intel Pentium 4', 'Memory: 500 MB RAM', 'Storage: 100 MB available space']"
Come with Me,"May 14, 2021",0,https://store.steampowered.com/app/1482840/Come_with_Me/?snr=1_7_7_230_150_42,Mostly Positive,76,,"['Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Remote Play on TV', 'Remote Play Together', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']",[]
Echoed World,"Dec 4, 2017",0,https://store.steampowered.com/app/740470/Echoed_World/?snr=1_7_7_230_150_42,Mostly Positive,75,,"['Single-player', 'Partial Controller Support']","['Action', 'Adventure', 'Free to Play']",[]
100 Doors Game - Escape from School,"Mar 20, 2020",0,https://store.steampowered.com/app/1238280/100_Doors_Game__Escape_from_School/?snr=1_7_7_230_150_42,Mixed,66,,"['Single-player', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards', 'Profile Features Limited\xa0\r\n\t\t\t\t\t\t\t\t\t\t\n\n']","['Adventure', 'Casual', 'Free to Play', 'Peaksel']","['OS: 7 SP1+, 8, 10', 'Processor: Dual Core 2.0 GHZ', 'Memory: 1 GB RAM', 'Graphics: Integrated graphics or GPU with at least 512 MB of VRAM', 'Storage: 250 MB available space']"
